"manufacturer","model_name","type","range_km","capacity","speed_kmh","fuel_burn_per_km","maintenance_cost_per_hour","purchase_price","lease_price_per_month"
"Airbus","A220-100","narrow_body_jet",6300,120,829,3.200,620.00,81000000.00,400000.00
"Airbus","A220-300","narrow_body_jet",6200,140,829,3.500,680.00,91000000.00,450000.00
"Airbus","A318-100","narrow_body_jet",5700,107,840,4.600,700.00,75000000.00,350000.00
"Airbus","A319ceo","narrow_body_jet",6900,134,840,4.800,800.00,92000000.00,460000.00
"Airbus","A319neo","narrow_body_jet",7300,140,830,4.000,750.00,102000000.00,510000.00
"Airbus","A320ceo","narrow_body_jet",6100,180,840,5.200,900.00,101000000.00,500000.00
"Airbus","A320neo","narrow_body_jet",6500,186,833,4.160,820.00,111000000.00,550000.00
"Airbus","A321ceo","narrow_body_jet",5900,220,840,5.800,1000.00,118000000.00,590000.00
"Airbus","A321LR","narrow_body_jet",7400,206,833,4.600,950.00,135000000.00,675000.00
"Airbus","A321neo","narrow_body_jet",7400,230,833,4.640,920.00,129000000.00,645000.00
"Airbus","A321XLR","narrow_body_jet",8700,200,833,4.700,980.00,142000000.00,710000.00
"Airbus","A330-200","wide_body_jet",13400,293,871,9.800,1800.00,238000000.00,1190000.00
"Airbus","A330-300","wide_body_jet",11750,335,871,10.400,1900.00,264000000.00,1320000.00
"Airbus","A330-900neo","wide_body_jet",13330,310,860,8.200,1650.00,296000000.00,1480000.00
"Airbus","A350-1000","wide_body_jet",16100,410,903,9.600,2400.00,366000000.00,1830000.00
"Airbus","A350-900","wide_body_jet",15000,350,903,8.500,2100.00,317000000.00,1585000.00
"Airbus","A380-800","wide_body_jet",15200,525,903,17.500,4200.00,445000000.00,2225000.00
"ATR","ATR 42-600","regional_turboprop",1300,48,550,2.100,350.00,16000000.00,80000.00
"ATR","ATR 72-600","regional_turboprop",1500,72,510,2.500,400.00,26000000.00,130000.00
"Boeing","737 MAX 10","narrow_body_jet",6100,230,839,4.800,960.00,134000000.00,670000.00
"Boeing","737 MAX 7","narrow_body_jet",7100,153,839,4.000,810.00,100000000.00,500000.00
"Boeing","737 MAX 8","narrow_body_jet",6500,189,839,4.300,860.00,121000000.00,605000.00
"Boeing","737 MAX 9","narrow_body_jet",6500,220,839,4.600,920.00,128000000.00,640000.00
"Boeing","737-700","narrow_body_jet",6000,149,838,4.600,820.00,89000000.00,445000.00
"Boeing","737-800","narrow_body_jet",5700,189,838,5.100,910.00,106000000.00,530000.00
"Boeing","737-900ER","narrow_body_jet",5400,215,838,5.500,980.00,112000000.00,560000.00
"Boeing","757-200","narrow_body_jet",7200,239,850,6.800,1100.00,115000000.00,575000.00
"Boeing","767-300ER","wide_body_jet",11000,269,850,9.200,1600.00,201000000.00,1005000.00
"Boeing","777-200LR","wide_body_jet",15840,317,905,11.200,2300.00,346000000.00,1730000.00
"Boeing","777-300ER","wide_body_jet",13650,396,905,12.000,2600.00,375000000.00,1875000.00
"Boeing","777-9","wide_body_jet",13500,426,905,10.500,2700.00,442000000.00,2210000.00
"Boeing","787-10","wide_body_jet",11910,330,903,8.400,2000.00,338000000.00,1690000.00
"Boeing","787-8","wide_body_jet",13600,242,903,7.200,1700.00,248000000.00,1240000.00
"Boeing","787-9","wide_body_jet",14140,290,903,7.800,1850.00,292000000.00,1460000.00
"Bombardier","CRJ-1000","regional_jet",3000,104,830,5.000,720.00,51000000.00,255000.00
"Bombardier","CRJ-700","regional_jet",2500,70,830,4.300,580.00,40000000.00,200000.00
"Bombardier","CRJ-900","regional_jet",2800,90,830,4.700,650.00,48000000.00,240000.00
"CASA","C-212 Aviocar","regional_turboprop",800,26,360,1.600,200.00,8000000.00,40000.00
"COMAC","ARJ21-700","regional_jet",3700,90,820,4.900,620.00,38000000.00,190000.00
"COMAC","C919","narrow_body_jet",5550,168,830,4.700,840.00,99000000.00,495000.00
"De Havilland","Dash 8 Q400","regional_turboprop",2000,78,667,3.200,450.00,32000000.00,160000.00
"Embraer","E175","regional_jet",3700,76,829,4.200,600.00,45000000.00,220000.00
"Embraer","E190","regional_jet",4500,100,829,4.800,700.00,52000000.00,260000.00
"Embraer","E190-E2","regional_jet",5200,106,830,4.000,650.00,60000000.00,300000.00
"Embraer","E195","regional_jet",4200,116,829,5.200,750.00,55000000.00,275000.00
"Embraer","E195-E2","regional_jet",4800,132,830,4.400,700.00,65000000.00,325000.00
"Irkut","MC-21-300","narrow_body_jet",6000,211,850,4.900,880.00,95000000.00,475000.00
"Sukhoi","Superjet SSJ-100","regional_jet",4400,98,830,4.800,640.00,35000000.00,175000.00
